,symbol,udl_price,exp,dte,s_strike,l_strike,width,premium,max_loss,be_price,adj_profit,rr_percent,iv_z_score,strad_z_score,s_delta,l_delta
0,NIO,13.32,2020-09-18,59,11.0,9.0,2.0,71.0,129.0,10.29,12.13,55.039,0.261,0.329,29.435,19.312
1,SPCE,23.51,2020-09-18,59,19.0,16.0,3.0,106.0,194.0,17.94,25.233,54.639,0.436,0.451,26.922,16.236
2,SPCE,23.51,2020-09-18,59,19.0,17.0,2.0,70.0,130.0,18.3,16.155,53.846,0.436,0.451,26.922,19.706
3,INO,25.4125,2020-08-21,31,21.0,16.0,5.0,167.0,333.0,19.33,29.113,50.15,0.297,0.297,27.577,14.298
4,INO,25.4125,2020-09-18,59,19.0,15.0,4.0,140.0,260.0,17.6,45.608,53.846,0.336,0.406,23.598,15.091
5,INO,25.4125,2020-09-18,59,20.0,15.0,5.0,195.0,305.0,18.05,66.352,63.934,0.284,0.343,25.73,15.091
6,SRNE,8.119,2020-08-21,31,7.0,6.0,1.0,35.0,65.0,6.65,6.23,53.846,0.289,0.291,28.77,18.667
7,SRNE,8.119,2020-09-18,59,6.0,3.5,2.5,85.0,165.0,5.15,26.685,51.515,0.373,0.404,23.326,4.143
8,SRNE,8.119,2020-09-18,59,6.0,4.0,2.0,75.0,125.0,5.25,28.348,60.0,0.373,0.404,23.326,7.785
9,SRNE,8.119,2020-09-18,59,6.0,4.5,1.5,50.0,100.0,5.5,15.011,50.0,0.373,0.404,23.326,11.594
10,UVXY,24.9,2020-08-21,31,22.0,18.0,4.0,146.0,254.0,20.54,39.116,57.48,0.328,0.307,26.721,10.975
11,UVXY,24.9,2020-08-21,31,22.0,19.0,3.0,123.0,177.0,20.77,42.837,69.492,0.328,0.307,26.721,14.245
12,UVXY,24.9,2020-08-21,31,22.0,20.0,2.0,70.0,130.0,21.3,16.558,53.846,0.328,0.307,26.721,18.098
13,UVXY,24.9,2020-09-18,59,19.0,16.0,3.0,104.0,196.0,17.96,43.341,53.061,0.478,0.503,20.22,11.385
14,UVXY,24.9,2020-09-18,59,20.0,15.0,5.0,175.0,325.0,18.25,58.964,53.846,0.397,0.418,23.207,8.728
15,UVXY,24.9,2020-09-18,59,20.0,16.0,4.0,155.0,245.0,18.45,62.171,63.265,0.397,0.418,23.207,11.385
16,UVXY,24.9,2020-09-18,59,21.0,16.0,5.0,199.0,301.0,19.01,68.322,66.113,0.316,0.332,26.136,11.385
17,UVXY,24.9,2020-09-18,59,21.0,17.0,4.0,142.0,258.0,19.58,37.458,55.039,0.316,0.332,26.136,14.252
18,UVXY,24.9,2020-09-18,59,22.0,17.0,5.0,208.0,292.0,19.92,63.086,71.233,0.235,0.247,28.983,14.252
19,UVXY,24.9,2020-09-18,59,22.0,18.0,4.0,165.0,235.0,20.35,49.069,70.213,0.235,0.247,28.983,17.221
20,UVXY,24.9,2020-09-18,59,22.0,20.0,2.0,90.0,110.0,21.1,32.035,81.818,0.235,0.247,28.983,23.207
21,TZA,18.75,2020-08-21,31,17.0,16.0,1.0,35.0,65.0,16.65,9.239,53.846,0.459,0.432,25.761,18.587
22,TZA,18.75,2020-08-21,31,17.5,15.0,2.5,85.0,165.0,16.65,11.144,51.515,0.328,0.309,29.543,12.382
23,TZA,18.75,2020-08-21,31,17.5,16.0,1.5,55.0,95.0,16.95,10.686,57.895,0.328,0.309,29.543,18.587
24,TZA,18.75,2020-09-18,59,17.0,14.0,3.0,125.0,175.0,15.75,37.388,71.429,0.267,0.254,29.204,12.539
25,TZA,18.75,2020-09-18,59,17.0,15.0,2.0,90.0,110.0,16.1,31.592,81.818,0.267,0.254,29.204,17.75
26,TZA,18.75,2020-09-18,59,17.0,16.0,1.0,40.0,60.0,16.6,10.796,66.667,0.267,0.254,29.204,23.453
27,NFLX,496.6995,2020-09-18,59,455.0,450.0,5.0,190.0,310.0,453.1,66.566,61.29,0.354,0.599,24.687,22.729
28,MSFT,210.91,2020-08-21,31,200.0,197.5,2.5,90.0,160.0,199.1,19.33,56.25,0.408,0.601,28.268,24.818
