AAPL,"Apple Inc",116.5,3.48,+3.08%,1216495,31.3%,68.7%,0.45533601471971,10/05/20
TSLA,"Tesla Inc",425.68,10.59,+2.55%,691119,38.7%,61.3%,0.63209550011217,10/05/20
AMD,"Adv Micro Devices",86.15,4.35,+5.32%,337807,27.8%,72.2%,0.3849316977976,10/05/20
BABA,"Alibaba Group Holding",288.27,0.1,+0.03%,294349,21.6%,78.4%,0.27632109546749,10/05/20
BAC,"Bank of America Corp",24.62,0.41,+1.69%,281081,32.0%,68.0%,0.46964309989647,10/05/20
NIO,"Nio Inc",21.59,0.41,+1.94%,276711,24.5%,75.5%,0.32397607655502,10/05/20
FB,"Facebook Inc",264.65,4.71,+1.81%,263722,39.0%,61.0%,0.63889009725632,10/05/20
BA,"Boeing Company",171.2,3.12,+1.86%,234810,26.5%,73.5%,0.36095703430648,10/05/20
MSFT,"Microsoft Corp",210.38,4.19,+2.03%,221249,31.5%,68.5%,0.45965720166781,10/05/20
AAL,"American Airlines Gp",13.12,0.12,+0.92%,209781,29.9%,70.1%,0.42626662315412,10/05/20
TLRY,"Tilray Inc",5.4,0.58,+12.03%,207388,61.3%,38.7%,1.5835980615664,10/05/20
JPM,"JP Morgan Chase & Company",99.04,1.15,+1.17%,195677,18.6%,81.4%,0.22889530867299,10/05/20
NVDA,"Nvidia Corp",545.7,23.21,+4.44%,189819,31.1%,68.9%,0.45228149100257,10/05/20
SQ,Square,180.92,11.31,+6.67%,186203,31.6%,68.4%,0.46147023734773,10/05/20
GE,"General Electric Company",6.41,0.02,+0.31%,172321,12.9%,87.1%,0.14833967519875,10/05/20
ZM,"Zoom Video Communications Cl A",485.37,3.14,+0.65%,171371,32.6%,67.4%,0.4827046201765,10/05/20
C,"Citigroup Inc",44.91,1.25,+2.86%,167680,28.6%,71.4%,0.40001669867246,10/05/20
AMZN,"Amazon.com Inc",3199.2,74.2,+2.37%,166861,37.3%,62.7%,0.59542773002381,10/05/20
DKNG,"Draftkings Inc",60.55,-3.23,-5.06%,164402,40.1%,59.9%,0.66971694376454,10/05/20
SNAP,"Snap Inc",27.54,0.9,+3.38%,154389,27.6%,72.4%,0.38194040404945,10/05/20
PLUG,"Plug Power Inc",15.74,1.6,+11.32%,148064,23.5%,76.5%,0.30639326615963,10/05/20
WFC,"Wells Fargo & Company",24.45,0.46,+1.92%,135456,23.9%,76.1%,0.31462179001922,10/05/20
NFLX,"Netflix Inc",520.65,17.59,+3.50%,135415,31.8%,68.2%,0.46526072043022,10/05/20
NKLA,"Nikola Corp",23.78,-0.47,-1.94%,134708,52.0%,48.0%,1.0846177653977,10/05/20
GPS,"Gap Inc",19.23,0.88,+4.80%,134689,3.6%,96.4%,0.037034470545662,10/05/20
SPCE,"Virgin Galactic Holdings Inc",21.01,0.24,+1.16%,133313,19.4%,80.6%,0.24122937693196,10/05/20
VALE,"Vale S.A.",10.75,0.36,+3.46%,114801,32.8%,67.2%,0.48771479667211,10/05/20
WORK,"Slack Technologies Inc",28.28,0.49,+1.76%,108205,24.9%,75.1%,0.33234417711232,10/05/20
DOCU,"Docusign Inc",225.92,7.65,+3.50%,96705,24.7%,75.3%,0.32873042044518,10/05/20
PTON,"Peloton Interactive Inc",110.74,3.23,+3.00%,93183,47.2%,52.8%,0.8951575179483,10/05/20
PFE,"Pfizer Inc",36.75,0.37,+1.02%,91473,15.1%,84.9%,0.17832023702177,10/05/20
BBBY,"Bed Bath & Beyond",20.49,-0.11,-0.53%,90029,52.8%,47.2%,1.12042489048,10/05/20
GILD,"Gilead Sciences Inc",63.6,1.43,+2.30%,88223,14.7%,85.3%,0.17230519825662,10/05/20
T,"AT&T Inc",28.67,-0.01,-0.03%,86117,43.4%,56.6%,0.76559712967709,10/05/20
CCL,"Carnival Corp",14.96,-0.2,-1.32%,85721,26.5%,73.5%,0.36140713094576,10/05/20
ROKU,"Roku Inc",204.16,4.16,+2.08%,84018,30.9%,69.1%,0.44631698541943,10/05/20
CMCSA,"Comcast Corp A",45.81,0.66,+1.46%,79832,13.9%,86.1%,0.16142923649907,10/05/20
TWTR,"Twitter Inc",47.31,1.19,+2.58%,78099,32.5%,67.5%,0.48097089219683,10/05/20
INTC,"Intel Corp",51.69,0.68,+1.33%,77608,32.6%,67.4%,0.48378709085347,10/05/20
BYND,"Beyond Meat Inc",175.49,9.25,+5.56%,77402,29.7%,70.3%,0.42202053976594,10/05/20
XOM,"Exxon Mobil Corp",33.74,0.76,+2.30%,77285,30.3%,69.7%,0.43385899814471,10/05/20
JD,"Jd.com Inc Ads",76.4,0.3,+0.39%,76907,42.1%,57.9%,0.7258813760912,10/05/20
F,"Ford Motor Company",7.02,0.13,+1.89%,76722,16.7%,83.3%,0.2002816020025,10/05/20
