,symbol,udl_price,exp,dte,s_strike,l_strike,width,premium,max_loss,be_price,adj_profit,rr_percent,iv_z_score,strad_z_score,s_delta,l_delta
0,AAL,12.495,2020-08-21,37,11.0,10.0,1.0,34.0,66.0,10.66,4.542,51.515,0.285,0.37,29.458,21.71
1,NIO,13.2501,2020-08-21,37,11.0,9.0,2.0,67.0,133.0,10.33,10.921,50.376,0.294,0.379,28.039,16.967
2,NIO,13.2501,2020-08-21,37,11.0,10.0,1.0,35.0,65.0,10.65,6.961,53.846,0.294,0.379,28.039,22.307
3,NIO,13.2501,2020-08-28,44,11.0,8.0,3.0,101.0,199.0,9.99,16.333,50.754,0.294,0.368,28.222,12.59
4,NKLA,52.8701,2020-08-07,23,45.0,40.0,5.0,220.0,280.0,42.8,143.824,78.571,0.409,0.427,15.235,-0.0
5,NKLA,52.8701,2020-08-14,30,45.0,40.0,5.0,170.0,330.0,43.3,54.436,51.515,0.359,0.359,23.113,2.675
6,NKLA,52.8701,2020-08-14,30,46.0,41.0,5.0,220.0,280.0,43.8,80.351,78.571,0.313,0.313,27.93,6.17
7,NKLA,52.8701,2020-08-21,37,40.0,35.0,5.0,230.0,270.0,37.7,178.994,85.185,0.446,0.549,10.201,-0.0
8,NKLA,52.8701,2020-08-28,44,45.0,40.0,5.0,250.0,250.0,42.5,102.732,100.0,0.32,0.32,29.454,19.334
9,DKNG,31.58,2020-08-28,44,27.5,26.0,1.5,50.0,100.0,27.0,8.02,50.0,0.325,0.385,27.987,23.195
10,SPCE,18.18,2020-08-07,23,16.0,14.0,2.0,68.0,132.0,15.32,9.94,51.515,0.36,0.42,29.03,16.757
11,SPCE,18.18,2020-08-07,23,16.0,14.5,1.5,51.0,99.0,15.49,7.455,51.515,0.36,0.42,29.03,19.637
12,SPCE,18.18,2020-08-07,23,16.0,15.0,1.0,35.0,65.0,15.65,5.97,53.846,0.36,0.42,29.03,22.658
13,SPCE,18.18,2020-08-14,30,16.0,13.5,2.5,85.0,165.0,15.15,10.104,51.515,0.355,0.366,29.958,15.618
14,SPCE,18.18,2020-08-14,30,16.0,14.0,2.0,74.0,126.0,15.26,14.084,58.73,0.355,0.366,29.958,18.368
15,SPCE,18.18,2020-08-14,30,16.0,14.5,1.5,51.0,99.0,15.49,6.063,51.515,0.355,0.366,29.958,21.21
16,SPCE,18.18,2020-08-21,37,15.0,13.0,2.0,71.0,129.0,14.29,21.779,55.039,0.48,0.482,24.61,13.288
17,SPCE,18.18,2020-08-21,37,15.0,14.0,1.0,40.0,60.0,14.6,15.389,66.667,0.48,0.482,24.61,18.812
18,INO,23.8201,2020-08-21,37,18.0,15.0,3.0,101.0,199.0,16.99,30.385,50.754,0.395,0.512,23.539,14.974
19,INO,23.8201,2020-08-21,37,18.0,16.0,2.0,67.0,133.0,17.33,19.923,50.376,0.395,0.512,23.539,17.734
20,INO,23.8201,2020-08-21,37,19.0,14.0,5.0,174.0,326.0,17.26,41.357,53.374,0.327,0.424,26.529,12.342
21,INO,23.8201,2020-08-21,37,19.0,15.0,4.0,148.0,252.0,17.52,41.886,58.73,0.327,0.424,26.529,14.974
22,INO,23.8201,2020-08-21,37,19.0,16.0,3.0,114.0,186.0,17.86,34.414,61.29,0.327,0.424,26.529,17.734
23,INO,23.8201,2020-08-21,37,19.0,17.0,2.0,75.0,125.0,18.25,21.943,60.0,0.327,0.424,26.529,20.599
24,INO,23.8201,2020-08-21,37,20.0,15.0,5.0,195.0,305.0,18.05,47.308,63.934,0.259,0.336,29.538,14.974
25,INO,23.8201,2020-08-21,37,20.0,16.0,4.0,161.0,239.0,18.39,42.846,67.364,0.259,0.336,29.538,17.734
26,INO,23.8201,2020-08-21,37,20.0,17.0,3.0,122.0,178.0,18.78,33.385,68.539,0.259,0.336,29.538,20.599
27,INO,23.8201,2020-08-21,37,20.0,18.0,2.0,80.0,120.0,19.2,20.923,66.667,0.259,0.336,29.538,23.539
28,WKHS,15.73,2020-08-21,37,12.5,9.0,3.5,125.0,225.0,11.25,30.827,55.556,0.321,0.418,26.907,12.31
