AAPL,Apple Inc,454.29,14.04,3.19%,1693183,18.30%,81.70%,0.223387514,15:07 ET
FB,Facebook Inc,265.08,15.96,6.41%,877605,22.80%,77.20%,0.296140401,15:07 ET
AAL,American Airlines Gp,12.97,0.41,3.26%,530395,17.30%,82.70%,0.208692918,15:07 ET
DIS,Walt Disney Company,131.24,3.63,2.84%,423842,23.70%,76.30%,0.310662379,15:07 ET
AMD,Adv Micro Devices,86.56,1.25,1.47%,358268,29.00%,71.00%,0.407528179,15:07 ET
MSFT,Microsoft Corp,215.69,2.75,1.29%,321516,17.70%,82.30%,0.215423581,15:07 ET
ROKU,Roku Inc,152.62,-12.8,-7.74%,290030,43.20%,56.80%,0.760991396,15:07 ET
UBER,Uber Technologies Inc,34.58,1.38,4.16%,253450,37.70%,62.30%,0.605261991,15:07 ET
BAC,Bank of America Corp,25.42,0.03,0.12%,216757,27.70%,72.30%,0.382819777,15:07 ET
BA,Boeing Company,172.13,-2.15,-1.23%,214641,23.70%,76.30%,0.310648665,15:07 ET
MU,Micron Technology,48.81,-2.24,-4.39%,210658,30.30%,69.70%,0.434501638,15:07 ET
GE,General Electric Company,6.37,-0.03,-0.47%,203832,59.60%,40.40%,1.476785302,15:06 ET
SQ,Square,153.93,7.38,5.04%,191779,27.10%,72.90%,0.371770479,15:07 ET
WORK,Slack Technologies Inc,30.36,0.35,1.17%,172526,7.10%,92.90%,0.076659053,15:07 ET
FSLY,Fastly Inc,89.07,-19.85,-18.22%,163469,34.90%,65.10%,0.535280582,15:07 ET
PLUG,Plug Power Inc,10.77,1.44,15.43%,161640,21.40%,78.60%,0.27156444,15:06 ET
TSLA,Tesla Inc,1505.41,20.39,1.37%,158027,42.50%,57.50%,0.738069313,15:07 ET
AMZN,Amazon.com Inc,3225.47,20.44,0.64%,154300,36.50%,63.50%,0.573590601,15:07 ET
WFC,Wells Fargo & Company,24.21,-0.19,-0.78%,149597,43.00%,57.00%,0.755462461,15:07 ET
NIO,Nio Inc,13.82,-0.1,-0.72%,144685,25.10%,74.90%,0.335114285,15:07 ET
KODK,Eastman Kodak,16.83,1.93,12.95%,131074,58.80%,41.20%,1.424422906,15:07 ET
MGM,MGM Resorts International,18.4,1.68,10.05%,129327,14.40%,85.60%,0.167664346,15:07 ET
DAL,Delta Air Lines Inc,26.97,0.5,1.89%,124489,14.40%,85.60%,0.16861453,15:07 ET
CCL,Carnival Corp,13.81,-0.21,-1.50%,124098,33.90%,66.10%,0.512763001,15:07 ET
JPM,JP Morgan Chase & Company,96.97,-0.24,-0.25%,120111,21.10%,78.90%,0.267943291,15:07 ET
INTC,Intel Corp,48.44,-0.48,-0.98%,119589,26.70%,73.30%,0.364672722,15:07 ET
SPCE,Virgin Galactic Holdings Inc,19.57,-0.58,-2.88%,116086,58.30%,41.70%,1.398124238,15:07 ET
SNAP,Snap Inc,21.39,-0.31,-1.43%,111551,25.50%,74.50%,0.342580668,15:07 ET
ZNGA,Zynga Inc Cl A,9.97,-0.1,-0.99%,100969,15.80%,84.20%,0.187409594,15:07 ET
BABA,Alibaba Group Holding,264.08,-0.83,-0.31%,100540,17.10%,82.90%,0.205804749,15:07 ET
F,Ford Motor Company,6.95,-0.01,-0.14%,99071,59.50%,40.50%,1.466477457,15:03 ET
WDC,Western Digital Cp,37.27,-7.2,-16.19%,98599,43.00%,57.00%,0.753588134,15:07 ET
ATVI,Activision Blizzard,86.92,2.6,3.08%,95448,18.30%,81.70%,0.223566814,15:07 ET
UAL,United Airlines Holdings Inc,34.16,0.43,1.27%,94404,24.20%,75.80%,0.318860017,15:07 ET
FCX,Freeport-Mcmoran Inc,14.7,0.73,5.23%,94393,14.10%,85.90%,0.164784857,15:07 ET
NKLA,Nikola Corp.,36.53,1.5,4.28%,90646,36.80%,63.20%,0.581044076,15:07 ET
BMY,Bristol-Myers Squibb Company,61.19,1.5,2.51%,83528,32.20%,67.80%,0.474014859,15:07 ET
PFE,Pfizer Inc,38.25,-0.2,-0.52%,80899,30.10%,69.90%,0.431384692,15:07 ET
WYNN,Wynn Resorts Ltd,76.63,5.35,7.51%,79388,27.70%,72.30%,0.382247449,15:07 ET
NFLX,Netflix Inc,508.38,6.27,1.25%,79009,33.50%,66.50%,0.503043793,15:07 ET
ET,Energy Transfer LP,6.57,-0.58,-8.11%,78700,46.40%,53.60%,0.867008279,15:07 ET
NCLH,Norwegian Cruise Ord,14.35,0.63,4.59%,74166,41.40%,58.60%,0.70586747,15:07 ET
PENN,Penn Natl Gaming Inc,43.15,4.76,12.40%,73334,29.50%,70.50%,0.418205728,15:07 ET
WMT,Wal-Mart Stores,129.47,-0.34,-0.26%,66367,27.40%,72.60%,0.377623249,15:07 ET
TWTR,Twitter Inc,37.62,0.83,2.26%,65829,20.40%,79.60%,0.255511901,15:07 ET
NVDA,Nvidia Corp,453.06,1.59,0.35%,64825,37.50%,62.50%,0.598761931,15:07 ET
ETSY,Etsy Inc,129.87,-5.65,-4.17%,62846,35.50%,64.50%,0.550298485,15:07 ET
BYND,Beyond Meat Inc,132.03,-0.66,-0.50%,62672,33.30%,66.70%,0.499043245,15:06 ET
CGC,Canopy Growth Corp,17.76,-1.45,-7.55%,59530,12.00%,88.00%,0.136828034,15:07 ET
HPE,Hewlett Packard Enterprise Comp,10.12,0.16,1.61%,58372,2.30%,97.70%,0.023818711,15:07 ET
LYFT,Lyft Inc Cl A,32.56,1.67,5.41%,58157,28.30%,71.70%,0.393950289,15:07 ET
CRON,Cronos Group Inc,5.84,-1.14,-16.33%,54813,35.50%,64.50%,0.549790771,15:05 ET
SONO,Sonos Inc,14.26,-3.24,-18.51%,54626,13.30%,86.70%,0.152982397,15:07 ET
T,AT&T Inc,29.82,-0.03,-0.10%,54040,51.70%,48.30%,1.070418758,15:07 ET
GM,General Motors Company,26.74,0.41,1.56%,52785,13.00%,87.00%,0.149574232,15:07 ET
CRM,Salesforce.com Inc,209.51,6.87,3.39%,48678,28.50%,71.50%,0.397788945,15:07 ET
JD,Jd.com Inc Ads,64.73,-0.79,-1.21%,48454,29.20%,70.80%,0.412694248,15:07 ET
FISV,Fiserv Inc,101.57,3.57,3.64%,48208,10.30%,89.70%,0.114481228,15:07 ET
GOLD,Barrick Gold Corp,29.38,-0.46,-1.54%,47103,33.50%,66.50%,0.504743954,15:07 ET
TDOC,Teladoc Health Inc,213.22,11.21,5.55%,45427,28.20%,71.80%,0.393637256,15:07 ET
CWH,Camping World Holdings Inc,33.35,-8.94,-21.14%,45417,9.70%,90.30%,0.10686781,15:07 ET
MRNA,Moderna Inc,73.31,-2.49,-3.28%,44377,37.10%,62.90%,0.589149508,15:07 ET
SRNE,Sorrento Therpt,13.55,-0.23,-1.67%,44346,16.40%,83.60%,0.196277313,15:07 ET
CVNA,Carvana Co. Cl A,217.35,43.23,24.83%,43418,42.00%,58.00%,0.724168057,15:07 ET
ZM,Zoom Video Communications Cl A,267.85,-5.05,-1.85%,43179,35.40%,64.60%,0.548855729,15:06 ET
RIOT,Riot Blockchain Inc,4.3,0.29,7.23%,43031,14.40%,85.60%,0.167543955,15:07 ET
CVS,CVS Corp,64.11,-0.29,-0.45%,42937,16.90%,83.10%,0.202717087,15:07 ET
LUV,Southwest Airlines Company,33.07,0.35,1.07%,42813,27.80%,72.20%,0.385399476,15:07 ET
DKNG,Draftkings Inc,33.62,1.07,3.29%,41830,19.90%,80.10%,0.247948924,15:07 ET
KO,Coca-Cola Company,47.48,0.26,0.55%,41070,18.10%,81.90%,0.221376316,15:07 ET
GILD,Gilead Sciences Inc,68.89,-0.11,-0.16%,40064,36.90%,63.10%,0.585311808,15:07 ET
Z,Zillow Group Cl C,71.27,0.67,0.95%,39982,54.60%,45.40%,1.204808647,15:07 ET
C,Citigroup Inc,50.85,-0.19,-0.37%,39554,21.20%,78.80%,0.269302355,15:07 ET
OPK,Opko Health Inc,5.66,0.21,3.85%,39427,12.10%,87.90%,0.137437614,15:07 ET
V,Visa Inc,198.43,2.33,1.19%,39215,24.50%,75.50%,0.324652074,15:07 ET
INO,Inovio Pharma,20.27,-1.52,-6.98%,38657,48.90%,51.10%,0.957316456,15:07 ET
COST,Costco Wholesale,342.98,3.01,0.89%,38430,33.60%,66.40%,0.504993147,15:07 ET
VZ,Verizon Communications Inc,57.82,0.28,0.49%,38345,10.70%,89.30%,0.119921727,15:07 ET
