SPY,"S&P 500 SPDR",333.52,4.79,+1.46%,1496368,55.8%,44.2%,1.2636880872455,"11:26 ET"
QQQ,"Nasdaq QQQ Invesco ETF",275.27,3.71,+1.37%,312585,63.5%,36.5%,1.7378908645003,"11:26 ET"
IWM,"Russell 2000 Ishares ETF",149.85,3.44,+2.35%,169235,73.1%,26.9%,2.7190418635315,"11:26 ET"
EEM,"Emerging Markets Ishares MSCI ETF",43.33,0.39,+0.91%,100487,49.7%,50.3%,0.98673362462682,"11:26 ET"
SLV,"Silver Trust Ishares",21.72,0.42,+1.97%,97163,27.0%,73.0%,0.36992076248484,"11:26 ET"
GLD,"Gold SPDR",175.77,0.83000000000001,+0.47%,58084,30.2%,69.8%,0.43187476888944,"11:25 ET"
EFA,"EAFE Ishares MSCI ETF",63.91,0.83,+1.32%,40809,92.1%,7.9%,11.591484109843,"11:26 ET"
VXX,"Ipath.B S&P 500 VIX Short-Term Futures ETN",25.6,0.060000000000002,+0.23%,39404,45.2%,54.8%,0.82358385783043,"11:26 ET"
GDX,"Gold Miners Vaneck ETF",38.52,0.1,+0.26%,36044,23.6%,76.4%,0.3086921792172,"11:26 ET"
UVXY,"Ultra VIX Short-Term Fut Proshares",20.82,0.039999999999999,+0.19%,35781,39.2%,60.8%,0.64389414683451,"11:26 ET"
HYG,"High Yield Corp Bond Ishares Iboxx $ ETF",83.43,0.48,+0.58%,31940,60.7%,39.3%,1.5415771464948,"11:26 ET"
SQQQ,"Ultrapro Short QQQ Proshares",24.6,-1.03,-4.02%,30648,21.0%,79.0%,0.26608005948693,"11:26 ET"
TQQQ,"Ultrapro QQQ Proshares",127.4,4.94,+4.03%,30087,41.2%,58.8%,0.69935046597007,"11:26 ET"
XLF,"S&P 500 Financials Sector SPDR",24.08,0.59,+2.51%,24801,18.8%,81.2%,0.23112434847357,"11:26 ET"
DIA,"Dow Industrials SPDR",276.04,4.34,+1.60%,20950,48.1%,51.9%,0.92838733431517,"11:26 ET"
TNA,"Smallcap Bull 3X Direxion",30.61,2.02,+7.07%,15886,28.7%,71.3%,0.40187080833039,"11:26 ET"
UUP,"DB US Dollar Index Bullish Fund Invesco",25.48,-0.07,-0.27%,14319,28.7%,71.3%,0.40176211453744,"11:25 ET"
UNG,"US Natural Gas Fund",12.54,-0.1,-0.79%,12695,46.4%,53.6%,0.86554004408523,"11:26 ET"
SPXS,"S&P 500 Bear 3X Direxion",5.84,-0.26,-4.26%,12694,17.3%,82.7%,0.20918270146695,"11:26 ET"
TLT,"20+ Year Treas Bond Ishares ETF",164.7,-0.42000000000002,-0.25%,12011,59.3%,40.7%,1.4597583452795,"11:26 ET"
XLK,"S&P 500 Technology Sector SPDR",115.47,1.53,+1.34%,11807,47.3%,52.7%,0.89731640687771,"11:26 ET"
XLE,"S&P 500 Energy Sector SPDR",30.72,0.54,+1.79%,11528,43.2%,56.8%,0.75919426217,"11:26 ET"
EWZ,"Brazil Ishares MSCI ETF",28.28,-0.34,-1.19%,11055,59.4%,40.6%,1.4643334819438,"11:26 ET"
MJ,"Alternative Harvest ETF",10.42,-0.02,-0.19%,10432,94.1%,5.9%,15.880258899676,"11:26 ET"
XOP,"S&P Oil & Gas Expl & Prod SPDR",43.33,0.94,+2.22%,9560,33.3%,66.7%,0.49819777464347,"11:26 ET"
KBE,"S&P Bank ETF SPDR",29.56,0.97,+3.39%,9161,97.7%,2.3%,42.62380952381,"11:26 ET"
SPXU,"Ultrapro Short S&P 500 Proshares",8.82,-0.42,-4.55%,8459,40.7%,59.3%,0.68741272691003,"11:26 ET"
KRE,"S&P Regional Banking ETF SPDR",35.68,1.13,+3.27%,8289,31.5%,68.5%,0.46010216663731,"11:26 ET"
TZA,"Smallcap Bear 3X Direxion",16.95,-1.29,-7.07%,7843,61.0%,39.0%,1.5672667757774,"11:26 ET"
JETS,"US Global Jets ETF",17.31,0.55,+3.28%,6373,35.8%,64.2%,0.55819070904645,"11:25 ET"
FAZ,"Financial Bear 3X Direxion",15.06,-1.2,-7.38%,5665,84.1%,15.9%,5.301446051168,"11:26 ET"
GDXJ,"Junior Gold Miners ETF Vaneck",54.77,0.54000000000001,+1.00%,5461,28.0%,72.0%,0.38886063072228,"11:24 ET"
SMH,"Semiconductor Vaneck ETF",172.43,3.19,+1.88%,5109,38.6%,61.4%,0.62914540816327,"11:26 ET"
FAS,"Financial Bull 3X Direxion",34.28,2.46,+7.73%,4905,13.1%,86.9%,0.15086813702487,"11:25 ET"
XLU,"S&P 500 Utilities Sector SPDR",59.22,0.5,+0.85%,4432,27.1%,72.9%,0.37213622291022,"11:26 ET"
EMB,"USD Emrg Mkts Bond Ishares JPM ETF",110.65,0.30000000000001,+0.27%,4234,80.4%,19.6%,4.1012048192771,"11:26 ET"
SDS,"Ultrashort S&P 500 Proshares",16.09,-0.49,-2.96%,3823,10.9%,89.1%,0.12243100411039,"11:26 ET"
XBI,"S&P Biotech SPDR",110.33,-0.48,-0.43%,3697,72.9%,27.1%,2.6859421734796,"11:26 ET"
XLP,"S&P 500 Cons Staples Sector SPDR",63.85,0.81,+1.28%,3667,67.5%,32.5%,2.0763422818792,"11:26 ET"
USO,"US Oil Fund",28.55,0.2,+0.71%,3620,39.0%,61.0%,0.6402356139556,"11:26 ET"
SPXL,"S&P 500 Bull 3X Direxion",52.03,2.18,+4.37%,3605,33.1%,66.9%,0.49461028192371,"11:26 ET"
XRT,"S&P Retail SPDR",49.85,0.97,+1.98%,3463,87.4%,12.6%,6.9426605504587,"11:26 ET"
FXI,"China Large-Cap Ishares ETF",41.24,0.54,+1.33%,3409,51.5%,48.5%,1.0598187311178,"11:24 ET"
